N,q,qdef,fraction,q_eff,MFPT_steps,MFPT_time,Mode_time,Mode_steps
4001,0.8,0.5,0.0,0.8,340584601.8430842,425730752.30385524,151884872.15542385,121507897.72433908
4001,0.8,0.5,0.02,0.790513833992095,340584601.8430842,430839521.3315015,153707490.62128893,121507897.72433908
4001,0.8,0.5,0.04,0.78125,340584601.8430842,435948290.3591478,155530109.08715403,121507897.72433908
4001,0.8,0.5,0.06,0.7722007722007722,340584601.8430842,441057059.38679403,157352727.5530191,121507897.72433908
4001,0.8,0.5,0.08,0.7633587786259542,340584601.8430842,446165828.4144403,159175346.01888418,121507897.72433908
4001,0.8,0.5,0.1,0.7547169811320755,340584601.8430842,451274597.4420866,160997964.48474926,121507897.72433907
4001,0.8,0.5,0.12,0.746268656716418,340584601.8430842,456383366.4697328,162820582.95061436,121507897.72433908
4001,0.8,0.5,0.14,0.7380073800738007,340584601.8430842,461492135.4973791,164643201.41647947,121507897.7243391
4001,0.8,0.5,0.16,0.7299270072992702,340584601.8430842,466600904.5250253,166465819.8823445,121507897.72433908
4001,0.8,0.5,0.18,0.7220216606498197,340584601.8430842,471709673.55267155,168288438.34820962,121507897.7243391
4001,0.8,0.5,0.2,0.7142857142857143,340584601.8430842,476818442.5803179,170111056.81407472,121507897.7243391
4001,0.8,0.5,0.22,0.7067137809187279,340584601.8430842,481927211.60796416,171933675.2799398,121507897.72433908
4001,0.8,0.5,0.24,0.6993006993006994,340584601.8430842,487035980.6356104,173756293.74580488,121507897.72433908
4001,0.8,0.5,0.26,0.6920415224913495,340584601.8430842,492144749.66325665,175578912.21166995,121507897.72433908
4001,0.8,0.5,0.28,0.684931506849315,340584601.8430842,497253518.690903,177401530.6775351,121507897.7243391
4001,0.8,0.5,0.3,0.6779661016949153,340584601.8430842,502362287.71854913,179224149.1434001,121507897.72433907
