N,q,qdef,fraction_real,n,q05,q25,q50,q75,q95,mean,hit_rate
4001,0.8,0.5,0.0,990,43140137.92058875,146468323.68515205,348467184.054424,685356835.642011,1353827161.8112748,476707810.8836692,0.99
4001,0.8,0.5,0.019999998750624765,987,39809968.56142793,148897486.35141975,365961343.5213542,715747663.7635291,1405080663.919685,491535559.80671227,0.987
4001,0.8,0.5,0.03999999750124953,989,38287563.93963053,147675561.6843833,361012368.47287697,716303899.4882797,1540418592.4125066,507054182.3121906,0.989
4001,0.8,0.5,0.0599999962518743,990,45685227.92364179,150447618.16127995,328146642.858433,640986030.1139349,1387715927.2765024,468956051.703353,0.99
4001,0.8,0.5,0.07999999500249906,994,45097335.82760202,166833678.60425073,375751263.85405374,706867132.0581782,1417419836.5427468,495010515.8761265,0.994
4001,0.8,0.5,0.09999999375312382,988,48775976.84262464,167863543.81056297,354905464.9920598,695200501.4503146,1453055055.462798,499437365.8441605,0.988
4001,0.8,0.5,0.1199999925037486,992,44326590.066915914,154341719.79872698,362745002.43153393,700168647.073219,1448742836.165212,500316880.90573907,0.992
4001,0.8,0.5,0.13999999125437337,993,46426241.2889178,175491065.86782587,376271620.56707823,714730992.0548472,1416389107.3893545,505774440.626572,0.993
4001,0.8,0.5,0.15999999000499812,985,45841101.31484669,179095781.1477003,388194924.1780337,714230567.5049133,1502490537.3190567,517011203.4083835,0.985
4001,0.8,0.5,0.1799999887556229,991,49310956.3949673,174944885.34251124,375141763.5620607,718192463.1689641,1436225614.4860568,514831355.78662604,0.991
4001,0.8,0.5,0.19999998750624765,996,43718348.81275658,176611423.90324655,386851930.3709905,752036019.1789479,1555427121.5090058,537190919.9463714,0.996
4001,0.8,0.5,0.21999998625687242,986,46579615.41873537,182345413.22740322,411905367.7468736,804996944.7523773,1627461068.2810447,563225759.3161124,0.986
4001,0.8,0.5,0.2399999850074972,994,40722005.33781131,162760463.35353667,389282548.3519986,782709755.5113072,1633535332.2629273,546384058.6569331,0.994
4001,0.8,0.5,0.25999998375812194,986,54311727.09673582,172764742.9449987,395072493.592274,754015396.878968,1594654813.710975,538503565.6595144,0.986
4001,0.8,0.5,0.27999998250874675,987,53767696.92200729,184304898.39035863,414707501.25006336,795618001.0872927,1674789713.4034739,564558602.6173866,0.987
4001,0.8,0.5,0.2999999812593715,985,50367025.28578229,184848635.9780686,383932302.8998164,747466984.0793208,1741347735.7868588,558033077.4095063,0.985
